play_session_key,user_id,start_datetime,end_datetime,channel_code,status_code,total_score,start_datetime_date_key,end_datetime_date_key,channel_key,status_key,duration_minutes
50,3,2024-10-22 01:13:05.712000-06:00,2024-10-22 08:57:05.712000-06:00,BROWSER,COMPLETED,734,20241022,20241022,1,1,464.0
51,486,2024-07-22 03:11:09.831000-06:00,2024-07-22 06:33:09.831000-06:00,BROWSER,COMPLETED,692,20240722,20240722,1,1,202.0
52,131,2024-09-23 01:51:27.888000-06:00,2024-09-23 08:37:27.888000-06:00,MOBILE,TIMEOUT,483,20240923,20240923,2,3,406.0
53,131,2024-12-08 10:24:16.268000-06:00,2024-12-08 15:52:16.268000-06:00,BROWSER,COMPLETED,2528,20241208,20241208,1,1,328.0
54,385,2024-02-05 18:02:16.009000-06:00,2024-02-05 23:52:16.009000-06:00,BROWSER,COMPLETED,4697,20240205,20240205,1,1,350.0
55,159,2024-09-26 09:53:19.984000-06:00,2024-09-26 18:50:19.984000-06:00,BROWSER,ABORTED,561,20240926,20240926,1,2,537.0
56,299,2024-11-23 13:43:55.298000-06:00,2024-11-23 17:45:55.298000-06:00,MOBILE,ABORTED,3128,20241123,20241123,2,2,242.0
57,471,2024-08-04 15:56:58.067000-06:00,2024-08-04 18:48:58.067000-06:00,MOBILE,COMPLETED,1258,20240804,20240804,2,1,172.0
58,419,2024-12-08 08:18:18.975000-06:00,2024-12-08 17:22:18.975000-06:00,MOBILE,COMPLETED,4796,20241208,20241208,2,1,544.0
59,359,2024-01-30 01:10:33.605000-06:00,2024-01-30 09:59:33.605000-06:00,MOBILE,ABORTED,1196,20240130,20240130,2,2,529.0
60,259,2024-10-06 11:11:46.487000-06:00,2024-10-06 18:30:46.487000-06:00,BROWSER,ABORTED,4923,20241006,20241006,1,2,439.0
61,167,2024-11-07 17:27:54.401000-06:00,2024-11-07 21:12:54.401000-06:00,BROWSER,COMPLETED,1376,20241107,20241107,1,1,225.0
62,307,2024-03-12 15:52:11.168000-06:00,2024-03-12 16:45:11.168000-06:00,MOBILE,TIMEOUT,276,20240312,20240312,2,3,53.0
63,260,2024-01-30 12:17:49.549000-06:00,2024-01-30 16:24:49.549000-06:00,BROWSER,COMPLETED,2289,20240130,20240130,1,1,247.0
64,20,2024-08-26 10:59:00.072000-06:00,2024-08-26 15:42:00.072000-06:00,MOBILE,TIMEOUT,4182,20240826,20240826,2,3,283.0
65,189,2024-01-14 06:48:45.321000-06:00,2024-01-14 08:42:45.321000-06:00,MOBILE,TIMEOUT,2662,20240114,20240114,2,3,114.0
66,201,2024-11-04 05:57:16.661000-06:00,2024-11-04 13:35:16.661000-06:00,MOBILE,TIMEOUT,4745,20241104,20241104,2,3,458.0
67,419,2024-12-26 22:15:21.594000-06:00,2024-12-27 05:14:21.594000-06:00,BROWSER,TIMEOUT,1385,20241226,20241227,1,3,419.0
68,98,2024-09-23 09:48:14.908000-06:00,2024-09-23 14:51:14.908000-06:00,MOBILE,COMPLETED,718,20240923,20240923,2,1,303.0
69,159,2024-11-29 20:35:46.259000-06:00,2024-11-30 06:26:46.259000-06:00,MOBILE,COMPLETED,4064,20241129,20241130,2,1,591.0
70,199,2024-08-08 23:15:45.966000-06:00,2024-08-09 06:36:45.966000-06:00,BROWSER,COMPLETED,1185,20240808,20240809,1,1,441.0
71,68,2024-10-06 17:38:23.459000-06:00,2024-10-06 22:25:23.459000-06:00,MOBILE,COMPLETED,2592,20241006,20241006,2,1,287.0
72,131,2024-12-09 00:23:49.795000-06:00,2024-12-09 03:17:49.795000-06:00,MOBILE,TIMEOUT,1839,20241209,20241209,2,3,174.0
73,370,2024-03-17 02:48:09.219000-06:00,2024-03-17 11:43:09.219000-06:00,MOBILE,COMPLETED,4134,20240317,20240317,2,1,535.0
74,68,2024-11-11 14:18:42.482000-06:00,2024-11-12 00:02:42.482000-06:00,MOBILE,ABORTED,4734,20241111,20241112,2,2,584.0
75,438,2024-02-17 17:44:17.598000-06:00,2024-02-17 20:44:17.598000-06:00,MOBILE,ABORTED,1181,20240217,20240217,2,2,180.0
76,144,2024-11-06 22:21:03.502000-06:00,2024-11-07 04:45:03.502000-06:00,BROWSER,COMPLETED,2648,20241106,20241107,1,1,384.0
77,9,2024-02-08 10:43:18.384000-06:00,2024-02-08 16:03:18.384000-06:00,MOBILE,TIMEOUT,2319,20240208,20240208,2,3,320.0
78,140,2024-12-21 14:01:36.341000-06:00,2024-12-21 15:50:36.341000-06:00,MOBILE,TIMEOUT,4868,20241221,20241221,2,3,109.0
79,149,2024-12-25 20:10:51.386000-06:00,2024-12-26 01:41:51.386000-06:00,BROWSER,COMPLETED,3524,20241225,20241226,1,1,331.0
80,188,2024-04-17 00:58:52.279000-06:00,2024-04-17 05:39:52.279000-06:00,MOBILE,TIMEOUT,2937,20240417,20240417,2,3,281.0
81,375,2024-07-13 02:31:27.900000-06:00,2024-07-13 08:37:27.900000-06:00,MOBILE,COMPLETED,793,20240713,20240713,2,1,366.0
82,258,2024-10-13 11:15:06.485000-06:00,2024-10-13 18:12:06.485000-06:00,BROWSER,TIMEOUT,1051,20241013,20241013,1,3,417.0
83,400,2024-08-20 01:38:05.505000-06:00,2024-08-20 05:48:05.505000-06:00,MOBILE,ABORTED,2501,20240820,20240820,2,2,250.0
84,138,2024-05-26 21:16:24.939000-06:00,2024-05-26 21:57:24.939000-06:00,BROWSER,ABORTED,433,20240526,20240526,1,2,41.0
85,274,2024-03-23 08:41:39.403000-06:00,2024-03-23 10:32:39.403000-06:00,MOBILE,ABORTED,3192,20240323,20240323,2,2,111.0
86,269,2024-12-30 04:34:17.339000-06:00,2024-12-30 11:48:17.339000-06:00,MOBILE,TIMEOUT,4758,20241230,20241230,2,3,434.0
87,279,2024-09-25 18:50:48.744000-06:00,2024-09-26 04:33:48.744000-06:00,MOBILE,ABORTED,4815,20240925,20240926,2,2,583.0
88,308,2024-10-30 09:34:54.465000-06:00,2024-10-30 10:47:54.465000-06:00,MOBILE,ABORTED,2294,20241030,20241030,2,2,73.0
89,210,2024-04-07 05:03:37.500000-06:00,2024-04-07 12:23:37.500000-06:00,BROWSER,COMPLETED,1307,20240407,20240407,1,1,440.0
90,489,2024-05-21 19:59:55.306000-06:00,2024-05-21 23:11:55.306000-06:00,BROWSER,TIMEOUT,1146,20240521,20240521,1,3,192.0
91,127,2024-08-20 21:05:24.126000-06:00,2024-08-21 05:21:24.126000-06:00,BROWSER,TIMEOUT,3440,20240820,20240821,1,3,496.0
92,422,2024-11-01 20:30:21.857000-06:00,2024-11-02 03:36:21.857000-06:00,BROWSER,TIMEOUT,4819,20241101,20241102,1,3,426.0
93,46,2024-05-30 07:49:21.486000-06:00,2024-05-30 07:57:21.486000-06:00,MOBILE,ABORTED,1095,20240530,20240530,2,2,8.0
94,73,2024-02-28 08:35:40.578000-06:00,2024-02-28 10:43:40.578000-06:00,BROWSER,ABORTED,2691,20240228,20240228,1,2,128.0
95,330,2024-01-15 15:42:06.737000-06:00,2024-01-15 23:20:06.737000-06:00,MOBILE,COMPLETED,4830,20240115,20240115,2,1,458.0
96,343,2024-11-19 03:20:55.348000-06:00,2024-11-19 09:04:55.348000-06:00,MOBILE,COMPLETED,1009,20241119,20241119,2,1,344.0
97,89,2024-06-20 13:43:50.596000-06:00,2024-06-20 14:25:50.596000-06:00,MOBILE,COMPLETED,3898,20240620,20240620,2,1,42.0
98,420,2024-01-24 02:40:22.195000-06:00,2024-01-24 05:47:22.195000-06:00,BROWSER,COMPLETED,2614,20240124,20240124,1,1,187.0
99,313,2024-10-16 20:27:21.411000-06:00,2024-10-17 05:18:21.411000-06:00,MOBILE,ABORTED,4957,20241016,20241017,2,2,531.0
100,333,2024-05-06 22:41:11.882000-06:00,2024-05-07 06:23:11.882000-06:00,BROWSER,COMPLETED,4229,20240506,20240507,1,1,462.0
101,109,2024-07-27 23:56:02.919000-06:00,2024-07-28 07:10:02.919000-06:00,BROWSER,COMPLETED,1891,20240727,20240728,1,1,434.0
102,381,2024-02-11 22:37:40.079000-06:00,2024-02-12 01:08:40.079000-06:00,BROWSER,ABORTED,1050,20240211,20240212,1,2,151.0
103,173,2024-12-16 05:34:31.439000-06:00,2024-12-16 10:11:31.439000-06:00,BROWSER,TIMEOUT,1438,20241216,20241216,1,3,277.0
104,222,2024-12-18 20:32:39.673000-06:00,2024-12-18 21:39:39.673000-06:00,BROWSER,ABORTED,2373,20241218,20241218,1,2,67.0
105,276,2024-11-30 08:26:27.920000-06:00,2024-11-30 09:04:27.920000-06:00,MOBILE,ABORTED,2372,20241130,20241130,2,2,38.0
106,500,2024-09-19 22:24:37.192000-06:00,2024-09-20 05:40:37.192000-06:00,BROWSER,TIMEOUT,1842,20240919,20240920,1,3,436.0
107,86,2024-10-02 04:41:22.205000-06:00,2024-10-02 10:31:22.205000-06:00,MOBILE,COMPLETED,1785,20241002,20241002,2,1,350.0
108,50,2024-09-23 22:29:18.360000-06:00,2024-09-24 06:01:18.360000-06:00,MOBILE,ABORTED,1170,20240923,20240924,2,2,452.0
109,179,2024-08-19 09:31:33.940000-06:00,2024-08-19 13:26:33.940000-06:00,BROWSER,ABORTED,1716,20240819,20240819,1,2,235.0
110,81,2024-08-01 02:52:58.208000-06:00,2024-08-01 12:41:58.208000-06:00,BROWSER,COMPLETED,859,20240801,20240801,1,1,589.0
111,392,2024-10-16 22:46:16.300000-06:00,2024-10-17 03:38:16.300000-06:00,BROWSER,COMPLETED,640,20241016,20241017,1,1,292.0
112,195,2024-06-29 07:00:12.004000-06:00,2024-06-29 07:53:12.004000-06:00,BROWSER,COMPLETED,3863,20240629,20240629,1,1,53.0
113,145,2024-12-27 08:24:42.416000-06:00,2024-12-27 16:19:42.416000-06:00,MOBILE,TIMEOUT,3338,20241227,20241227,2,3,475.0
114,288,2024-02-06 13:09:55.901000-06:00,2024-02-06 14:37:55.901000-06:00,MOBILE,ABORTED,4413,20240206,20240206,2,2,88.0
115,307,2024-06-12 19:21:15.943000-06:00,2024-06-13 01:11:15.943000-06:00,BROWSER,COMPLETED,3710,20240612,20240613,1,1,350.0
116,126,2024-11-20 22:12:29.568000-06:00,2024-11-21 02:31:29.568000-06:00,BROWSER,ABORTED,3504,20241120,20241121,1,2,259.0
117,220,2024-03-12 04:21:31.596000-06:00,2024-03-12 12:24:31.596000-06:00,MOBILE,ABORTED,1303,20240312,20240312,2,2,483.0
118,418,2024-06-26 10:33:16.725000-06:00,2024-06-26 11:37:16.725000-06:00,MOBILE,COMPLETED,772,20240626,20240626,2,1,64.0
119,401,2024-05-25 01:22:43.518000-06:00,2024-05-25 01:59:43.518000-06:00,MOBILE,ABORTED,2038,20240525,20240525,2,2,37.0
120,34,2024-09-27 12:30:42.793000-06:00,2024-09-27 21:50:42.793000-06:00,BROWSER,ABORTED,2854,20240927,20240927,1,2,560.0
121,313,2024-12-20 05:47:50.251000-06:00,2024-12-20 11:16:50.251000-06:00,BROWSER,TIMEOUT,4128,20241220,20241220,1,3,329.0
122,302,2024-06-18 05:47:26.230000-06:00,2024-06-18 09:30:26.230000-06:00,MOBILE,ABORTED,214,20240618,20240618,2,2,223.0
123,167,2024-12-16 09:22:00.731000-06:00,2024-12-16 12:10:00.731000-06:00,MOBILE,COMPLETED,2542,20241216,20241216,2,1,168.0
124,134,2024-09-25 20:03:10.865000-06:00,2024-09-26 03:36:10.865000-06:00,MOBILE,TIMEOUT,2201,20240925,20240926,2,3,453.0
125,288,2024-08-27 21:58:42.176000-06:00,2024-08-28 05:42:42.176000-06:00,BROWSER,ABORTED,2948,20240827,20240828,1,2,464.0
126,252,2024-11-17 04:48:00.344000-06:00,2024-11-17 08:09:00.344000-06:00,MOBILE,COMPLETED,3328,20241117,20241117,2,1,201.0
127,88,2024-07-10 18:56:42.681000-06:00,2024-07-11 03:44:42.681000-06:00,BROWSER,TIMEOUT,4809,20240710,20240711,1,3,528.0
128,240,2024-01-12 05:30:10.875000-06:00,2024-01-12 12:26:10.875000-06:00,BROWSER,COMPLETED,3515,20240112,20240112,1,1,416.0
129,369,2024-10-10 15:44:13.376000-06:00,2024-10-10 19:09:13.376000-06:00,BROWSER,TIMEOUT,551,20241010,20241010,1,3,205.0
130,207,2024-10-24 06:57:56.734000-06:00,2024-10-24 09:27:56.734000-06:00,BROWSER,TIMEOUT,1961,20241024,20241024,1,3,150.0
131,114,2024-07-19 16:28:05.883000-06:00,2024-07-19 20:22:05.883000-06:00,BROWSER,COMPLETED,1092,20240719,20240719,1,1,234.0
132,412,2024-09-10 08:07:07.170000-06:00,2024-09-10 15:41:07.170000-06:00,MOBILE,ABORTED,2892,20240910,20240910,2,2,454.0
133,401,2024-12-01 06:52:45.948000-06:00,2024-12-01 07:13:45.948000-06:00,BROWSER,ABORTED,461,20241201,20241201,1,2,21.0
134,211,2024-10-09 17:41:57.180000-06:00,2024-10-09 18:55:57.180000-06:00,BROWSER,COMPLETED,4057,20241009,20241009,1,1,74.0
135,407,2024-06-07 14:34:40.309000-06:00,2024-06-07 23:11:40.309000-06:00,MOBILE,ABORTED,2673,20240607,20240607,2,2,517.0
136,234,2024-06-01 21:18:12.285000-06:00,2024-06-01 22:18:12.285000-06:00,BROWSER,ABORTED,4816,20240601,20240601,1,2,60.0
137,278,2024-05-17 15:29:48.603000-06:00,2024-05-17 20:04:48.603000-06:00,MOBILE,ABORTED,4265,20240517,20240517,2,2,275.0
138,270,2024-01-21 09:18:13.326000-06:00,2024-01-21 16:21:13.326000-06:00,BROWSER,TIMEOUT,2708,20240121,20240121,1,3,423.0
139,163,2024-05-21 15:37:32.076000-06:00,2024-05-21 19:35:32.076000-06:00,MOBILE,TIMEOUT,3929,20240521,20240521,2,3,238.0
140,301,2024-10-05 06:14:39.717000-06:00,2024-10-05 12:05:39.717000-06:00,BROWSER,ABORTED,3016,20241005,20241005,1,2,351.0
141,307,2024-12-17 15:18:57.327000-06:00,2024-12-17 20:03:57.327000-06:00,BROWSER,COMPLETED,4619,20241217,20241217,1,1,285.0
142,434,2024-10-21 15:19:21.743000-06:00,2024-10-21 20:35:21.743000-06:00,BROWSER,COMPLETED,4213,20241021,20241021,1,1,316.0
143,201,2024-12-12 22:52:44.055000-06:00,2024-12-12 23:46:44.055000-06:00,BROWSER,ABORTED,1079,20241212,20241212,1,2,54.0
144,207,2024-11-30 14:15:20.742000-06:00,2024-11-30 16:24:20.742000-06:00,BROWSER,ABORTED,1702,20241130,20241130,1,2,129.0
145,96,2024-01-22 01:56:07.370000-06:00,2024-01-22 09:22:07.370000-06:00,BROWSER,ABORTED,711,20240122,20240122,1,2,446.0
146,441,2024-05-09 05:06:42.530000-06:00,2024-05-09 10:30:42.530000-06:00,MOBILE,COMPLETED,1200,20240509,20240509,2,1,324.0
147,34,2024-12-02 13:09:07.594000-06:00,2024-12-02 18:22:07.594000-06:00,BROWSER,COMPLETED,3151,20241202,20241202,1,1,313.0
148,41,2024-04-17 00:28:11.962000-06:00,2024-04-17 05:04:11.962000-06:00,MOBILE,ABORTED,3049,20240417,20240417,2,2,276.0
149,221,2024-05-01 03:04:21.055000-06:00,2024-05-01 08:15:21.055000-06:00,MOBILE,COMPLETED,2689,20240501,20240501,2,1,311.0
150,25,2024-09-06 15:14:06.894000-06:00,2024-09-06 18:50:06.894000-06:00,BROWSER,TIMEOUT,3583,20240906,20240906,1,3,216.0
151,474,2024-06-16 08:35:54.944000-06:00,2024-06-16 14:56:54.944000-06:00,BROWSER,ABORTED,4199,20240616,20240616,1,2,381.0
152,431,2024-10-26 16:37:21.879000-06:00,2024-10-26 22:40:21.879000-06:00,BROWSER,TIMEOUT,4928,20241026,20241026,1,3,363.0
153,390,2024-11-06 00:12:23.727000-06:00,2024-11-06 04:27:23.727000-06:00,BROWSER,TIMEOUT,258,20241106,20241106,1,3,255.0
154,402,2024-07-06 12:10:57.021000-06:00,2024-07-06 13:27:57.021000-06:00,BROWSER,ABORTED,4213,20240706,20240706,1,2,77.0
155,274,2024-10-31 02:46:56.259000-06:00,2024-10-31 06:55:56.259000-06:00,MOBILE,TIMEOUT,2731,20241031,20241031,2,3,249.0
156,31,2024-09-11 20:50:51.766000-06:00,2024-09-12 04:45:51.766000-06:00,BROWSER,TIMEOUT,2941,20240911,20240912,1,3,475.0
157,418,2024-09-06 19:07:05.119000-06:00,2024-09-06 21:06:05.119000-06:00,BROWSER,COMPLETED,4460,20240906,20240906,1,1,119.0
158,341,2024-01-07 04:06:27.410000-06:00,2024-01-07 06:15:27.410000-06:00,BROWSER,ABORTED,1390,20240107,20240107,1,2,129.0
159,118,2024-12-18 10:54:01.078000-06:00,2024-12-18 11:58:01.078000-06:00,BROWSER,COMPLETED,2164,20241218,20241218,1,1,64.0
160,104,2024-11-02 08:44:40.086000-06:00,2024-11-02 09:47:40.086000-06:00,MOBILE,ABORTED,1211,20241102,20241102,2,2,63.0
161,73,2024-03-12 18:13:21.028000-06:00,2024-03-12 21:34:21.028000-06:00,MOBILE,ABORTED,2054,20240312,20240312,2,2,201.0
162,31,2024-12-08 16:07:50.456000-06:00,2024-12-08 16:50:50.456000-06:00,BROWSER,COMPLETED,546,20241208,20241208,1,1,43.0
163,287,2024-10-30 03:45:05.659000-06:00,2024-10-30 10:53:05.659000-06:00,MOBILE,COMPLETED,1764,20241030,20241030,2,1,428.0
164,305,2024-06-08 20:48:56.823000-06:00,2024-06-09 04:00:56.823000-06:00,MOBILE,TIMEOUT,3633,20240608,20240609,2,3,432.0
165,41,2024-10-29 22:21:48.441000-06:00,2024-10-30 04:32:48.441000-06:00,MOBILE,TIMEOUT,3386,20241029,20241030,2,3,371.0
166,499,2024-09-23 19:10:09.681000-06:00,2024-09-24 03:23:09.681000-06:00,MOBILE,COMPLETED,1608,20240923,20240924,2,1,493.0
167,310,2024-02-10 20:49:02.800000-06:00,2024-02-10 21:49:02.800000-06:00,MOBILE,COMPLETED,1831,20240210,20240210,2,1,60.0
168,476,2024-08-19 08:23:55.487000-06:00,2024-08-19 12:02:55.487000-06:00,MOBILE,TIMEOUT,276,20240819,20240819,2,3,219.0
170,297,2024-08-15 22:27:18.939000-06:00,2024-08-16 01:53:18.939000-06:00,MOBILE,COMPLETED,2036,20240815,20240816,2,1,206.0
171,241,2024-11-26 19:15:07.282000-06:00,2024-11-26 20:51:07.282000-06:00,MOBILE,ABORTED,2125,20241126,20241126,2,2,96.0
172,333,2024-10-26 11:39:28.045000-06:00,2024-10-26 17:38:28.045000-06:00,BROWSER,COMPLETED,2570,20241026,20241026,1,1,359.0
173,253,2024-11-01 20:12:58.700000-06:00,2024-11-01 21:54:58.700000-06:00,BROWSER,TIMEOUT,1126,20241101,20241101,1,3,102.0
174,410,2024-06-19 15:28:48.122000-06:00,2024-06-20 01:18:48.122000-06:00,BROWSER,ABORTED,564,20240619,20240620,1,2,590.0
175,447,2024-06-06 19:07:30.936000-06:00,2024-06-07 00:52:30.936000-06:00,MOBILE,TIMEOUT,764,20240606,20240607,2,3,345.0
176,496,2024-01-29 19:30:37.110000-06:00,2024-01-30 04:09:37.110000-06:00,BROWSER,ABORTED,3987,20240129,20240130,1,2,519.0
177,408,2024-12-16 11:07:50.837000-06:00,2024-12-16 17:17:50.837000-06:00,BROWSER,ABORTED,2506,20241216,20241216,1,2,370.0
178,460,2024-08-05 19:51:13.458000-06:00,2024-08-05 20:02:13.458000-06:00,BROWSER,TIMEOUT,4515,20240805,20240805,1,3,11.0
179,367,2024-06-29 18:53:53.877000-06:00,2024-06-30 01:54:53.877000-06:00,BROWSER,ABORTED,4016,20240629,20240630,1,2,421.0
180,110,2024-03-28 13:58:10.051000-06:00,2024-03-28 23:44:10.051000-06:00,MOBILE,ABORTED,2975,20240328,20240328,2,2,586.0
181,159,2024-12-20 00:01:39.796000-06:00,2024-12-20 06:55:39.796000-06:00,MOBILE,ABORTED,746,20241220,20241220,2,2,414.0
182,59,2024-10-16 22:26:10.932000-06:00,2024-10-17 01:49:10.932000-06:00,BROWSER,TIMEOUT,300,20241016,20241017,1,3,203.0
