user_registration_key,payment_detail_id,plan_id_x,start_date,end_date,plan_key,start_date_key,end_date_key,plan_id_y,payment_frequency_code,cost_amount,payment_frequency_desc
184,184,3,2024-06-08,,3,20240608,,3,ONETIME,14.99,Onetime
185,185,1,2024-12-07,,1,20241207,,1,MONTHLY,1.99,Monthly
186,186,1,2024-08-02,,1,20240802,,1,MONTHLY,1.99,Monthly
187,187,1,2024-12-03,,1,20241203,,1,MONTHLY,1.99,Monthly
188,188,1,2024-02-06,,1,20240206,,1,MONTHLY,1.99,Monthly
189,189,3,2024-05-10,,3,20240510,,3,ONETIME,14.99,Onetime
190,190,1,2024-08-07,,1,20240807,,1,MONTHLY,1.99,Monthly
191,191,3,2024-10-07,2024-11-29,3,20241007,20241129.0,3,ONETIME,14.99,Onetime
192,192,2,2024-11-12,,2,20241112,,2,ANNUALLY,9.99,Annually
193,193,2,2024-12-06,,2,20241206,,2,ANNUALLY,9.99,Annually
194,194,1,2024-09-13,2024-09-29,1,20240913,20240929.0,1,MONTHLY,1.99,Monthly
195,195,1,2024-06-02,,1,20240602,,1,MONTHLY,1.99,Monthly
196,196,2,2024-02-18,,2,20240218,,2,ANNUALLY,9.99,Annually
197,197,3,2024-10-08,,3,20241008,,3,ONETIME,14.99,Onetime
198,198,3,2024-02-07,,3,20240207,,3,ONETIME,14.99,Onetime
199,199,1,2024-05-19,,1,20240519,,1,MONTHLY,1.99,Monthly
4,200,3,2024-11-24,,3,20241124,,3,ONETIME,14.99,Onetime
9,201,3,2024-12-16,,3,20241216,,3,ONETIME,14.99,Onetime
31,202,3,2024-12-05,,3,20241205,,3,ONETIME,14.99,Onetime
69,203,3,2024-07-03,,3,20240703,,3,ONETIME,14.99,Onetime
71,204,3,2024-12-05,,3,20241205,,3,ONETIME,14.99,Onetime
85,205,3,2024-09-09,,3,20240909,,3,ONETIME,14.99,Onetime
87,206,3,2024-10-25,,3,20241025,,3,ONETIME,14.99,Onetime
101,207,3,2024-10-19,,3,20241019,,3,ONETIME,14.99,Onetime
109,208,3,2024-09-17,,3,20240917,,3,ONETIME,14.99,Onetime
146,209,3,2024-11-19,,3,20241119,,3,ONETIME,14.99,Onetime
149,210,3,2024-12-26,,3,20241226,,3,ONETIME,14.99,Onetime
150,211,3,2024-07-16,,3,20240716,,3,ONETIME,14.99,Onetime
156,212,3,2024-09-26,,3,20240926,,3,ONETIME,14.99,Onetime
169,213,3,2024-07-20,,3,20240720,,3,ONETIME,14.99,Onetime
182,214,3,2024-12-14,,3,20241214,,3,ONETIME,14.99,Onetime
194,215,3,2024-09-29,,3,20240929,,3,ONETIME,14.99,Onetime
